Sigla OACI;Nome Empresas;Nacional ou Estrangeira
NLU;INSEL AIR ARUBA N.V;ARUBA
NRA;NO AR;BRASILEIRA
OCA;NÃO INFORMADO;NÃO INFORMADO
ONE;AVIANCA BRASIL;BRASILEIRA
PAC;POLAR AIR CARGO INC.;ESTRANGEIRA
PAM;MAP LINHAS AEREAS;BRASILEIRA
PEP;PENTA;BRASILEIRA
PLI;AEROPERU EMP.T.A.DEL PERU;ESTRANGEIRA
PLY;PUMA AIR;BRASILEIRA
PTB;PASSAREDO;BRASILEIRA
PTN;PANTANAL;BRASILEIRA
PUA;PLUNA;ESTRANGEIRA
QTR;QATAR AIRWAYS;ESTRANGEIRA
RAM;NÃO INFORMADO;NÃO INFORMADO
RDN;DINAR LÖNEAS AREAS;ESTRANGEIRA
RIO;RIO LINHAS AEREAS;BRASILEIRA
RLE;RICO;BRASILEIRA
RLR;NÃO INFORMADO;NÃO INFORMADO
ROI;AVIOR AIRLINES CA;ESTRANGEIRA
RSL;RIO SUL;BRASILEIRA
RSU;CIA BOLIVIANA DE TRASNP. AEREO;ESTRANGEIRA
RZO;SATA INTERNACIONAL - SERVIÇOS E TRANSPORTES AÉREOS S.A.;ESTRANGEIRA
SAA;SOUTH µFRICAN AIRWAYS;ESTRANGEIRA
SAB;NÃO INFORMADO;NÃO INFORMADO
SBA;SOL;BRASILEIRA
SIA;SINGAPORE AIRLINES;ESTRANGEIRA
SKC;SKYMASTER ;BRASILEIRA
SKX;NÃO INFORMADO;NÃO INFORMADO
SLM;SURINAM AIRWAYS;ESTRANGEIRA
SLX;SETE;BRASILEIRA
STU;NÃO INFORMADO;NÃO INFORMADO
SUL;AMÉRICA DO SUL LINHAS AÉREAS;BRASILEIRA
SWR;SWISSAIR;ESTRANGEIRA
T7B;NÃO INFORMADO;NÃO INFORMADO
T9B;NÃO INFORMADO;NÃO INFORMADO
TAB;TABA;BRASILEIRA
TAE;NÃO INFORMADO;NÃO INFORMADO
TAM;TAM;BRASILEIRA
TAP;TAP AIR PORTUGAL;ESTRANGEIRA
TBA;TRANSBRASIL;BRASILEIRA
TCJ;NÃO INFORMADO;NÃO INFORMADO
TCV;EMPRESA DE TRANSPORTES AEREOS DE CABO VERDE S.A.;ESTRANGEIRA
THY;TURKISH AIRLINES INC.;ESTRANGEIRA
TIB;TRIP;BRASILEIRA
TIM;TEAM;BRASILEIRA
TIN;NÃO INFORMADO;NÃO INFORMADO
TIO;NÃO INFORMADO;NÃO INFORMADO
TLL;NÃO INFORMADO;NÃO INFORMADO
TOB;NÃO INFORMADO;NÃO INFORMADO
TPA;TAMPA S/A;ESTRANGEIRA
TPE;TRANSPORTES AEREOS PRESIDENTE S.A;BRASILEIRA
TPU;TRASAMERICA  AIRLINES-TACAPERU;ESTRANGEIRA
TSD;TAF ;BRASILEIRA
TTL;TOTAL;BRASILEIRA
TU4;NÃO INFORMADO;NÃO INFORMADO
TU6;NÃO INFORMADO;NÃO INFORMADO
TUI;NÃO INFORMADO;NÃO INFORMADO
TUS;ABSA;BRASILEIRA
TVJ;TAVAJ;BRASILEIRA
UAE;EMIRATES;ESTRANGEIRA
UAL;UNITED AIRLINES;ESTRANGEIRA
UPS;UNITED PARCEL SERVICE;ESTRANGEIRA
UVG;NÃO INFORMADO;NÃO INFORMADO
VBR;NÃO INFORMADO;NÃO INFORMADO
VCR;CRUISER;BRASILEIRA
VLO;VARIG LOG;BRASILEIRA
VRG;VRG LINHAS AREAS;BRASILEIRA
VRN;VRG LINHAS AEREAS;BRASILEIRA
VSO;NÃO INFORMADO;NÃO INFORMADO
VSP;VASP;BRASILEIRA
WEB;WEBJET;BRASILEIRA
